NAME,B01001_001E,B19013_001E,B25001_001E,B25003_001E,B25003_002E,B25077_001E,B25034_001E,B25034_006E,B25034_011E,B08303_001E,B08303_012E,B08303_013E,B08201_001E,B08201_002E,B17001_001E,B17001_002E,state,county,tract,population_total,population_total_moe,median_household_income,median_household_income_moe,housing_units_total,housing_units_total_moe,occupied_units_total,occupied_units_total_moe,owner_occupied_units,owner_occupied_units_moe,median_home_value,median_home_value_moe,housing_built_total,housing_built_total_moe,housing_built_1980_1989,housing_built_1980_1989_moe,housing_built_1979_earlier,housing_built_1979_earlier_moe,workers_commute_total,workers_commute_total_moe,workers_commute_60_89,workers_commute_60_89_moe,workers_commute_90_plus,workers_commute_90_plus_moe,households_vehicle_total,households_vehicle_total_moe,households_no_vehicle,households_no_vehicle_moe,poverty_universe,poverty_universe_moe,poverty_count,poverty_count_moe,GEOID,homeownership_rate,long_commute_share,poverty_rate,no_vehicle_share,old_housing_share,income_per_housing_unit,commute_stress_index,housing_risk_proxy,income_moe_ratio,poor_quality_income,opportunity_score,risk_score
Census Tract 101; Cook County; Illinois,4198,74145,2905,2284,688,340700,2905,0,1603,1955,311,0,2284,695,4097,545,17,031,010100,4198,4198,74145,74145,2905,2905,2284,2284,688,688,340700,340700,2905,2905,0,0,1603,1603,1955,1955,311,311,0,0,2284,2284,695,695,4097,4097,545,545,17031010100,0.30122591943957966,0.15907928388746803,0.13302416402245545,0.3042907180385289,0.5518072289156627,25.523235800344235,0.04840634951917263,0.3855885890321356,1.0,True,0.7074744469824973,0.3776600154819513
Census Tract 201; Cook County; Illinois,4159,64904,1725,1676,683,237900,1725,97,388,1924,166,71,1676,219,4159,758,17,031,020100,4159,4159,64904,64904,1725,1725,1676,1676,683,683,237900,237900,1725,1725,97,97,388,388,1924,1924,166,166,71,71,1676,1676,219,219,4159,4159,758,758,17031020100,0.4075178997613365,0.12318087318087319,0.18225534984371244,0.13066825775656324,0.2811594202898551,37.62550724637681,0.016095830087476865,0.16658192383521844,1.0,True,0.7208752131882185,0.24447092619430244
Census Tract 202; Cook County; Illinois,7632,120625,2181,2052,1707,425600,2181,55,329,2440,214,79,2052,53,7565,378,17,031,020200,7632,7632,120625,120625,2181,2181,2052,2052,1707,1707,425600,425600,2181,2181,55,55,329,329,2440,2440,214,214,79,79,2052,2052,53,53,7565,7565,378,378,17031020200,0.8318713450292398,0.12008196721311476,0.04996695307336418,0.025828460038986353,0.17606602475928473,55.307198532783126,0.003101532291566804,0.029601743928827112,1.0,True,0.9215380051760174,0.13541373697874506
Census Tract 203.01; Cook County; Illinois,4978,78385,2266,2094,1528,219200,2266,180,159,1851,161,224,2094,459,4968,723,17,031,020301,4978,4978,78385,78385,2266,2266,2094,2094,1528,1528,219200,219200,2266,2266,180,180,159,159,1851,1851,161,161,224,224,2094,2094,459,459,4968,4968,723,723,17031020301,0.7297039159503342,0.20799567801188545,0.14553140096618358,0.2191977077363897,0.1496028243601059,34.59179170344219,0.04559217583928148,0.04043705758730657,1.0,True,0.8447070196351184,0.26732306722860144
Census Tract 203.02; Cook County; Illinois,5064,71250,1908,1807,1133,296300,1908,60,976,1586,123,66,1807,202,4722,608,17,031,020302,5064,5064,71250,71250,1908,1908,1807,1807,1133,1133,296300,296300,1908,1908,60,60,976,976,1586,1586,123,123,66,66,1807,1807,202,202,4722,4722,608,608,17031020302,0.6270060874377421,0.11916771752837327,0.12875900042354935,0.11178749308245711,0.5429769392033543,37.34276729559748,0.01332146039885523,0.20252709298453836,1.0,True,0.817974557934077,0.29132371485047964
Census Tract 204; Cook County; Illinois,4363,73790,1864,1658,807,344200,1864,27,662,1841,173,48,1658,208,4349,606,17,031,020400,4363,4363,73790,73790,1864,1864,1658,1658,807,807,344200,344200,1864,1864,27,27,662,662,1841,1841,173,173,48,48,1658,1658,208,208,4349,4349,606,606,17031020400,0.4867310012062726,0.1200434546442151,0.1393423775580593,0.12545235223160434,0.3696351931330472,39.586909871244636,0.015059733755124692,0.18972228549832518,1.0,True,0.7664826252720554,0.25143745085583713
Census Tract 205; Cook County; Illinois,6625,37819,2577,2313,743,184300,2577,247,718,2379,391,61,2313,664,6359,2882,17,031,020500,6625,6625,37819,37819,2577,2577,2313,2313,743,743,184300,184300,2577,2577,247,247,718,718,2379,2379,391,391,61,61,2313,2313,664,664,6359,6359,2882,2882,17031020500,0.32122784262862086,0.1899957965531736,0.45321591445195786,0.287073065283182,0.3744664338377959,14.6755917733799,0.05454267570743937,0.25417738915924754,1.0,True,0.5708747354055289,0.4459131316357513
Census Tract 206.01; Cook County; Illinois,6275,64127,2316,2074,811,409300,2316,26,908,1968,129,119,2074,435,6267,2042,17,031,020601,6275,6275,64127,64127,2316,2316,2074,2074,811,811,409300,409300,2316,2316,26,26,908,908,1968,1968,129,129,119,119,2074,2074,435,435,6267,6267,2042,2042,17031020601,0.3910318225650916,0.12601626016260162,0.32583373224828466,0.20973963355834138,0.40328151986183075,27.688687392055268,0.026430604228896676,0.24558561214343888,1.0,True,0.6511447063788217,0.3536156904679766
Census Tract 206.02; Cook County; Illinois,4790,89663,1771,1637,1027,423000,1771,9,1100,2107,88,40,1637,209,4788,940,17,031,020602,4790,4790,89663,89663,1771,1771,1637,1637,1027,1027,423000,423000,1771,1771,9,9,1100,1100,2107,2107,88,88,40,40,1637,1637,209,209,4788,4788,940,940,17031020602,0.6273671350030544,0.060749881347887995,0.19632414369256473,0.12767257177764202,0.6261998870694523,50.62845849802372,0.007756093586871466,0.23334265797945378,1.0,True,0.7878765045365516,0.31249627571232697
Census Tract 207.01; Cook County; Illinois,1771,108568,833,751,497,459800,833,15,423,640,128,0,751,30,1768,147,17,031,020701,1771,1771,108568,108568,833,833,751,751,497,497,459800,459800,833,833,15,15,423,423,640,640,128,128,0,0,751,751,30,30,1768,1768,147,147,17031020701,0.6617842876165113,0.2,0.0831447963800905,0.03994673768308921,0.5258103241296519,130.33373349339735,0.007989347536617843,0.1778373133541033,1.0,True,0.8499930364645469,0.28930994949334415
Census Tract 207.02; Cook County; Illinois,8057,63906,2621,2620,1283,225900,2621,40,615,3023,418,24,2620,427,7859,1229,17,031,020702,8057,8057,63906,63906,2621,2621,2620,2620,1283,1283,225900,225900,2621,2621,40,40,615,615,3023,3023,418,418,24,24,2620,2620,427,427,7859,7859,1229,1229,17031020702,0.4896946564885496,0.14621237181607674,0.15638121898460364,0.16297709923664122,0.24990461655856544,24.382296833269745,0.023829268231093423,0.12752766119801603,1.0,True,0.7598426547004914,0.2492525299816523
Census Tract 208.01; Cook County; Illinois,5332,74931,2354,2211,951,389400,2354,18,1478,1908,208,0,2211,130,5332,437,17,031,020801,5332,5332,74931,74931,2354,2354,2211,2211,951,951,389400,389400,2354,2354,18,18,1478,1478,1908,1908,208,208,0,0,2211,2211,130,130,5332,5332,437,437,17031020801,0.43012211668928085,0.1090146750524109,0.08195798949737435,0.05879692446856626,0.6355140186915887,31.831350892098556,0.0064097276150218985,0.36216538378625146,1.0,True,0.7732864597674781,0.27913045160600575
Census Tract 208.02; Cook County; Illinois,8964,68725,2293,2086,836,450000,2293,12,1123,2644,132,6,2086,313,8942,2056,17,031,020802,8964,8964,68725,68725,2293,2293,2086,2086,836,836,450000,450000,2293,2293,12,12,1123,1123,2644,2644,132,132,6,6,2086,2086,313,313,8942,8942,2056,2056,17031020802,0.40076701821668265,0.05219364599092285,0.22992619100872289,0.15004793863854266,0.4949847361535107,29.971652856519842,0.007831548990967808,0.2966111793824968,1.0,True,0.6972996281841612,0.29006637103863975
Census Tract 209.01; Cook County; Illinois,6256,56291,2398,2143,743,219900,2398,73,1120,2453,337,112,2143,262,6256,1174,17,031,020901,6256,6256,56291,56291,2398,2398,2143,2143,743,743,219900,219900,2398,2398,73,73,1120,1120,2453,2453,337,337,112,112,2143,2143,262,262,6256,6256,1174,1174,17031020901,0.3467102193187121,0.1830411740725642,0.18765984654731457,0.12225851609892674,0.4974979149291076,23.47414512093411,0.022378342327117044,0.3250103037334347,1.0,True,0.6981837928092561,0.3343836899981235
Census Tract 209.02; Cook County; Illinois,4107,45547,1713,1481,717,122600,1713,91,166,1123,111,3,1481,377,3599,864,17,031,020902,4107,4107,45547,45547,1713,1713,1481,1481,717,717,122600,122600,1713,1713,91,91,166,166,1123,1123,111,111,3,3,1481,1481,377,377,3599,3599,864,864,17031020902,0.4841323430114787,0.10151380231522707,0.24006668519033064,0.25455773126266035,0.15002918855808522,26.589025102159955,0.0258411232092104,0.07739520598134848,1.0,True,0.7205397840374298,0.2562362591185981
Census Tract 301.01; Cook County; Illinois,3515,48929,2445,2270,598,274800,2445,515,210,1524,241,61,2270,1221,3515,571,17,031,030101,3515,3515,48929,48929,2445,2445,2270,2270,598,598,274800,274800,2445,2445,515,515,210,210,1524,1524,241,241,61,61,2270,2270,1221,1221,3515,3515,571,571,17031030101,0.26343612334801764,0.19816272965879264,0.1624466571834993,0.5378854625550661,0.2965235173824131,20.011860940695296,0.1065888515036942,0.2184085114816717,1.0,True,0.6817020742250338,0.41168767323731675
Census Tract 301.02; Cook County; Illinois,3374,59826,2226,2028,790,232800,2226,100,574,1570,247,10,2028,910,3366,835,17,031,030102,3374,3374,59826,59826,2226,2226,2028,2028,790,790,232800,232800,2226,2226,100,100,574,574,1570,1570,247,247,10,10,2028,2028,910,910,3366,3366,835,835,17031030102,0.3895463510848126,0.16369426751592356,0.24806892453951276,0.44871794871794873,0.302785265049416,26.87601078167116,0.07345255593663237,0.18483636988716814,1.0,True,0.6854381781121125,0.39581903322997564
Census Tract 301.03; Cook County; Illinois,2132,49545,1166,1100,313,197500,1166,55,485,873,125,71,1100,525,1467,373,17,031,030103,2132,2132,49545,49545,1166,1166,1100,1100,313,313,197500,197500,1166,1166,55,55,485,485,873,873,125,125,71,71,1100,1100,525,525,1467,1467,373,373,17031030103,0.28454545454545455,0.22451317296678122,0.25426039536468986,0.4772727272727273,0.4631217838765009,42.49142367066895,0.10715401437050923,0.3313425853734602,1.0,True,0.6476627718988403,0.4828043287581031
Census Tract 301.04; Cook County; Illinois,3612,41823,1244,1101,371,162300,1244,0,382,964,113,35,1101,567,1839,467,17,031,030104,3612,3612,41823,41823,1244,1244,1101,1101,371,371,162300,162300,1244,1244,0,0,382,382,964,964,113,113,35,35,1101,1101,567,567,1839,1839,467,467,17031030104,0.3369663941871026,0.15352697095435686,0.25394235997824904,0.5149863760217984,0.3070739549839228,33.619774919614144,0.07906429839338815,0.20360035162421766,1.0,True,0.665274843032432,0.41516828851429166
Census Tract 302; Cook County; Illinois,5791,108466,2855,2614,1360,527300,2855,13,2006,2834,164,56,2614,454,5786,865,17,031,030200,5791,5791,108466,108466,2855,2855,2614,2614,1360,1360,527300,527300,2855,2855,13,13,2006,2006,2834,2834,164,164,56,56,2614,2614,454,454,5786,5786,865,865,17031030200,0.5202754399387911,0.0776287932251235,0.14949879018320084,0.17368018362662585,0.7071803852889668,37.991593695271455,0.013482583062052819,0.33925179921666576,1.0,True,0.7731376135942537,0.3427940531577375
Census Tract 303; Cook County; Illinois,2956,68933,1540,1441,483,379700,1540,63,658,1394,249,8,1441,636,2956,463,17,031,030300,2956,2956,68933,68933,1540,1540,1441,1441,483,483,379700,379700,1540,1540,63,63,658,658,1394,1394,249,249,8,8,1441,1441,636,636,2956,2956,463,463,17031030300,0.33518390006939625,0.18436154949784792,0.15663058186738837,0.44136016655100624,0.4681818181818182,44.76168831168831,0.08136984419197174,0.3112548104220554,1.0,True,0.7082300206678239,0.4193876050297739
Census Tract 304; Cook County; Illinois,2716,98909,1451,1394,592,437300,1451,90,620,1190,106,18,1394,388,2716,398,17,031,030400,2716,2716,98909,98909,1451,1451,1394,1394,592,592,437300,437300,1451,1451,90,90,620,620,1190,1190,106,106,18,18,1394,1394,388,388,2716,2716,398,398,17031030400,0.4246771879483501,0.10420168067226891,0.14653902798232696,0.2783357245337159,0.48931771192281187,68.16609235010338,0.02900305028754687,0.28151564201011126,1.0,True,0.742590904962576,0.32841582784576534
Census Tract 305; Cook County; Illinois,6518,127055,3352,3120,1720,341000,3352,139,2229,2732,428,58,3120,632,6384,385,17,031,030500,6518,6518,127055,127055,3352,3352,3120,3120,1720,1720,341000,341000,3352,3352,139,139,2229,2229,2732,2732,428,428,58,58,3120,3120,632,632,6384,6384,385,385,17031030500,0.5512820512820513,0.17789165446559296,0.06030701754385965,0.20256410256410257,0.7064439140811456,37.904236276849645,0.03603446334046627,0.3169940640107704,1.0,True,0.8233854686222619,0.3731327414238553
Census Tract 306.01; Cook County; Illinois,3907,52917,2143,1974,531,322600,2143,125,574,1516,73,48,1974,825,3698,689,17,031,030601,3907,3907,52917,52917,2143,2143,1974,1974,531,531,322600,322600,2143,2143,125,125,574,574,1516,1516,73,73,48,48,1974,1974,825,825,3698,3698,689,689,17031030601,0.2689969604863222,0.07981530343007916,0.18631692806922662,0.41793313069908816,0.3261782547830145,24.692953803079796,0.03335745964023065,0.23843729566965038,1.0,True,0.6728784878976604,0.32889113037978046
Census Tract 306.03; Cook County; Illinois,1996,49674,1498,1302,121,326300,1498,39,891,1050,158,19,1302,743,1972,515,17,031,030603,1996,1996,49674,49674,1498,1498,1302,1302,121,121,326300,326300,1498,1498,39,39,891,891,1050,1050,158,158,19,19,1302,1302,743,743,1972,1972,515,515,17031030603,0.09293394777265745,0.16857142857142857,0.26115618661257606,0.5706605222734255,0.6208277703604806,33.16021361815754,0.09619705946894885,0.5631317947739845,1.0,True,0.5807072632018546,0.5306277684497377
Census Tract 306.04; Cook County; Illinois,3109,51688,2502,2234,562,236400,2502,103,366,1440,220,42,2234,1260,3109,665,17,031,030604,3109,3109,51688,51688,2502,2502,2234,2234,562,562,236400,236400,2502,2502,103,103,366,366,1440,1440,220,220,42,42,2234,2234,1260,1260,3109,3109,665,665,17031030604,0.25156669650850494,0.18194444444444444,0.21389514313284014,0.5640107430617726,0.1874500399680256,20.658673061550758,0.1026186213070725,0.14029385265288216,1.0,True,0.6547297164961771,0.398714351257309
Census Tract 307.01; Cook County; Illinois,1516,44948,975,917,187,271800,975,34,502,704,41,27,917,526,1341,365,17,031,030701,1516,1516,44948,44948,975,975,917,917,187,187,271800,271800,975,975,34,34,502,502,704,704,41,41,27,27,917,917,526,526,1341,1341,365,365,17031030701,0.2039258451472192,0.09659090909090909,0.2721849366144668,0.5736095965103599,0.5497435897435897,46.10051282051282,0.05540547239020522,0.437636663590862,1.0,True,0.6127681071347336,0.47875018863800384
Census Tract 307.02; Cook County; Illinois,2039,60603,1665,1482,893,197400,1665,55,110,770,137,0,1482,402,2039,423,17,031,030702,2039,2039,60603,60603,1665,1665,1482,1482,893,893,197400,197400,1665,1665,55,55,110,110,770,770,137,137,0,0,1482,1482,402,402,2039,2039,423,423,17031030702,0.6025641025641025,0.17792207792207793,0.2074546346248161,0.27125506072874495,0.0990990990990991,36.3981981981982,0.04826226405173774,0.03938553938553939,1.0,True,0.7746146920988485,0.2754750134392936
Census Tract 307.03; Cook County; Illinois,3237,74702,2029,1858,554,342700,2029,260,528,1322,96,13,1858,898,3237,642,17,031,030703,3237,3237,74702,74702,2029,2029,1858,1858,554,554,342700,342700,2029,2029,260,260,528,528,1322,1322,96,96,13,13,1858,1858,898,898,3237,3237,642,642,17031030703,0.2981700753498385,0.08245083207261725,0.19833178869323448,0.48331539289558667,0.38836865450961067,36.8171513060621,0.039849756297745044,0.27256874353096466,1.0,True,0.6772384841364992,0.37267832128447065
Census Tract 307.06; Cook County; Illinois,2717,52167,2166,1936,659,355400,2166,310,1052,1049,0,18,1936,1109,2717,242,17,031,030706,2717,2717,52167,52167,2166,2166,1936,1936,659,659,355400,355400,2166,2166,310,310,1052,1052,1049,1049,0,0,18,18,1936,1936,1109,1109,2717,2717,242,242,17031030706,0.34039256198347106,0.017159199237368923,0.08906882591093117,0.5728305785123967,0.628808864265928,24.08448753462604,0.009829314025951517,0.414767003960532,1.0,True,0.7401839516515886,0.398555453201654
Census Tract 308; Cook County; Illinois,4610,105585,2408,2211,1086,512500,2408,52,1797,1656,167,14,2211,444,4456,441,17,031,030800,4610,4610,105585,105585,2408,2408,2211,2211,1086,1086,512500,512500,2408,2408,52,52,1797,1797,1656,1656,167,167,14,14,2211,2211,444,444,4456,4456,441,441,17031030800,0.49118046132971505,0.10929951690821256,0.09896768402154399,0.20081411126187246,0.7678571428571429,43.847591362126245,0.021948885349274708,0.39070071719325455,1.0,True,0.786044686926306,0.36765242251216973
Census Tract 309; Cook County; Illinois,2818,87485,1738,1519,592,444300,1738,45,1247,1134,116,10,1519,212,2798,152,17,031,030900,2818,2818,87485,87485,1738,1738,1519,1519,592,592,444300,444300,1738,1738,45,45,1247,1247,1134,1134,116,116,10,10,1519,1519,212,212,2798,2798,152,152,17031030900,0.3897300855826201,0.1111111111111111,0.054324517512508934,0.13956550362080317,0.7433831990794016,50.33659378596087,0.01550727818008924,0.45366440128150454,1.0,True,0.772191514281286,0.327026662413376
Census Tract 310; Cook County; Illinois,4108,132147,2332,2195,892,350200,2332,79,1569,1864,225,19,2195,503,4060,267,17,031,031000,4108,4108,132147,132147,2332,2332,2195,2195,892,892,350200,350200,2332,2332,79,79,1569,1569,1864,1864,225,225,19,19,2195,2195,503,503,4060,4060,267,267,17031031000,0.40637813211845103,0.13090128755364808,0.06576354679802955,0.22915717539863326,0.7066895368782161,56.66680960548885,0.029996969311838262,0.41950636289399346,1.0,True,0.77264554003829,0.35963273264251405
Census Tract 311; Cook County; Illinois,5018,92717,3159,3108,636,367900,3159,75,1912,2886,166,114,3108,1308,4931,481,17,031,031100,5018,5018,92717,92717,3159,3159,3108,3108,636,636,367900,367900,3159,3159,75,75,1912,1912,2886,2886,166,166,114,114,3108,3108,1308,1308,4931,4931,481,481,17031031100,0.20463320463320464,0.09702009702009702,0.09754613668627053,0.42084942084942084,0.6289965178854068,29.35011079455524,0.040830851641662454,0.5002829447273891,1.0,True,0.6911584815138271,0.3931856282724714
Census Tract 312; Cook County; Illinois,5298,25713,3689,3413,629,338800,3689,216,1265,2267,52,109,3413,2084,5032,1732,17,031,031200,5298,5298,25713,25713,3689,3689,3413,3413,629,629,338800,338800,3689,3689,216,216,1265,1265,2267,2267,52,52,109,109,3413,3413,2084,2084,5032,5032,1732,1732,17031031200,0.18429534134192793,0.07101896779885311,0.3441971383147854,0.6106065045414591,0.401463811330984,6.970181621035511,0.04336464368380014,0.32747590118530895,1.0,True,0.5739978408108222,0.46048797006883924
Census Tract 313; Cook County; Illinois,6136,68942,4824,4216,1586,172500,4824,623,1651,2423,102,198,4216,1626,5747,1148,17,031,031300,6136,6136,68942,68942,4824,4824,4216,4216,1586,1586,172500,172500,4824,4824,623,623,1651,1651,2423,2423,102,102,198,198,4216,4216,1626,1626,5747,5747,1148,1148,17031031300,0.3761859582542694,0.12381345439537764,0.1997563946406821,0.38567362428842505,0.47139303482587064,14.291459369817579,0.047751583692334926,0.29406159430551226,1.0,True,0.7026035527336992,0.3859010220849531
Census Tract 314; Cook County; Illinois,4697,93026,3614,3128,1415,296300,3614,199,838,2493,72,8,3128,1318,4467,196,17,031,031400,4697,4697,93026,93026,3614,3614,3128,3128,1415,1415,296300,296300,3614,3614,199,199,838,838,2493,2493,72,72,8,8,3128,3128,1318,1318,4467,4467,196,196,17031031400,0.4523657289002558,0.032089851584436425,0.04387732258786658,0.42135549872122763,0.28693967902601,25.740453790813504,0.013521235418250387,0.1571380019730035,1.0,True,0.797746745798491,0.24691891818288098
Census Tract 315.01; Cook County; Illinois,4792,52250,2234,2094,383,382100,2234,167,844,1930,198,99,2094,674,4716,2163,17,031,031501,4792,4792,52250,52250,2234,2234,2094,2094,383,383,382100,382100,2234,2234,167,167,844,844,1930,1930,198,198,99,99,2094,2094,674,674,4716,4716,2163,2163,17031031501,0.18290353390639924,0.1538860103626943,0.4586513994910941,0.3218720152817574,0.45255147717099375,23.38854073410922,0.04953160027910982,0.36977821272185785,1.0,True,0.522342092909657,0.46228911066678013
Census Tract 315.02; Cook County; Illinois,4463,49684,2902,2533,182,287900,2902,36,1319,1714,141,53,2533,1528,4456,1382,17,031,031502,4463,4463,49684,49684,2902,2902,2533,2533,182,182,287900,287900,2902,2902,36,36,1319,1319,1714,1714,141,141,53,53,2533,2533,1528,1528,4456,4456,1382,1382,17031031502,0.0718515594157126,0.11318553092182031,0.3101436265709156,0.6032372680615871,0.4669193659545141,17.120606478290835,0.06827773045737917,0.43337048138928647,1.0,True,0.5517635784298934,0.4864346019130066
Census Tract 317; Cook County; Illinois,5851,79867,3831,3341,1279,463300,3831,147,2340,3264,186,80,3341,1182,5754,306,17,031,031700,5851,5851,79867,79867,3831,3831,3341,3341,1279,1279,463300,463300,3831,3831,147,147,2340,2340,3264,3264,186,186,80,80,3341,3341,1182,1182,5754,5754,306,306,17031031700,0.382819515115235,0.08149509803921569,0.053180396246089674,0.3537862915294822,0.6491777603758809,20.847559383972854,0.028831848513125695,0.400659844925192,1.0,True,0.7703960454727294,0.35437274280043785
